,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
107,14.671225,17.406702,15.665930,15.725609,15.286533,14.988674,17.011541,15.665930,6.288752,14.320319,15.705484,14.919951,3.671212,14.134418,14.859163,14.456440,1.882139,14.053717
108,14.971661,17.717436,15.871779,16.134492,15.593953,15.347886,17.323969,15.871779,7.172597,14.419590,16.112014,15.140650,4.797722,14.169286,15.248914,14.654801,2.934415,14.060689
109,15.212633,17.976717,16.082133,16.455296,15.847981,15.629150,17.648111,16.082133,8.033952,14.516154,16.429387,15.339251,5.592733,14.249115,15.545968,14.831678,3.664528,14.117388
110,15.379788,18.199446,16.229140,16.648061,16.015962,15.814352,17.827243,16.229140,8.359303,14.631038,16.623772,15.484129,5.961204,14.344487,15.741699,14.966175,4.056584,14.190651
111,15.499566,18.447197,16.387516,16.772678,16.132928,15.943159,18.092239,16.387516,8.905750,14.682793,16.756523,15.587282,6.108310,14.418040,15.879385,15.065487,4.251939,14.251588
112,15.558532,18.592640,16.501529,16.836147,16.197035,16.011567,18.253808,16.501529,9.104723,14.749250,16.820437,15.651558,6.073413,14.482679,15.938366,15.124437,4.229121,14.310507
113,15.515458,18.622061,16.545919,16.774586,16.159279,15.956657,18.321464,16.545919,8.864797,14.770375,16.753601,15.639248,5.563653,14.524895,15.867924,15.112641,3.770919,14.357357
114,15.512735,18.614809,16.611034,16.792175,16.182968,15.974323,18.417673,16.611034,8.984216,14.804395,16.778663,15.661735,5.554357,14.544808,15.856830,15.119483,3.666747,14.382136
115,14.873912,17.501079,16.025579,15.831164,15.500060,15.184527,17.252993,16.025579,3.976384,14.798165,15.814080,15.225293,1.907461,14.636505,14.973388,14.760226,0.690570,14.547063
116,14.726988,17.243324,15.852537,15.607528,15.321578,14.997612,17.000690,15.852537,3.803023,14.704384,15.594679,15.082615,1.696107,14.570551,14.800716,14.642729,0.523300,14.484742
117,14.387217,16.169074,15.443294,15.038299,14.934530,14.530543,15.882641,15.443294,1.227292,15.003947,15.021681,14.858273,0.456470,14.694866,14.317091,14.467362,-0.419775,14.617634
118,14.260940,15.897800,15.273443,14.820115,14.771282,14.335419,15.656367,15.273443,1.073029,14.890519,14.810232,14.737201,0.204648,14.664170,14.161743,14.374308,-0.595651,14.586874
119,13.983800,14.998485,14.971834,14.123517,14.316851,13.907042,14.800951,14.971834,-0.568936,15.142718,14.117384,14.491385,-1.245189,14.865386,13.779830,14.216908,-1.455195,14.653985
120,13.805463,14.557209,14.746346,13.753477,14.041801,13.621468,14.374940,14.746346,-1.337119,15.117753,13.747657,14.299177,-1.985554,14.850697,13.555747,14.090851,-1.926453,14.625955
121,13.678277,14.260904,14.573823,13.555554,13.880721,13.420317,14.081989,14.573823,-1.804151,15.065657,13.550013,14.170090,-2.274572,14.790166,13.400267,13.996003,-2.185286,14.591739
122,13.502134,13.887315,14.373757,13.257826,13.651846,13.191913,13.724556,14.373757,-2.613717,15.022958,13.252625,14.001165,-3.013663,14.749706,13.181372,13.868719,-2.767296,14.556066
123,13.377055,13.615984,14.210112,13.094388,13.513687,13.036346,13.457093,14.210112,-3.103567,14.963130,13.089460,13.884887,-3.278355,14.680314,13.031705,13.771741,-3.050062,14.511778
124,13.239740,13.359892,14.047846,12.878115,13.339673,12.872890,13.209968,14.047846,-3.655948,14.885724,12.873335,13.747719,-3.815234,14.622103,12.868509,13.664003,-3.471011,14.459497
125,13.249820,13.669153,14.091258,12.991218,13.381350,12.925820,13.526668,14.091258,-2.595902,14.655849,12.986798,13.726584,-3.401428,14.466370,12.916602,13.630641,-3.283047,14.344680
126,13.177686,13.664118,14.059386,12.931316,13.315497,12.888197,13.532959,14.059386,-2.629370,14.585812,12.925898,13.656396,-3.648656,14.386894,12.844009,13.559031,-3.571353,14.274052
127,13.509900,14.950398,14.534955,13.823443,13.902331,13.474946,14.816558,14.534955,1.385967,14.253352,13.818420,13.975752,-0.774342,14.133085,13.324139,13.722198,-1.959130,14.120257
128,13.851715,15.811321,14.927347,14.428746,14.332243,13.944716,15.597000,14.927347,3.506345,14.257694,14.419076,14.256263,0.852499,14.093450,13.793731,13.917982,-0.650585,14.042232
129,14.280120,16.696715,15.295216,15.251160,14.904054,14.530899,16.407283,15.295216,5.280109,14.183150,15.233327,14.615941,2.931362,13.998554,14.370536,14.176788,0.919916,13.983041
130,14.525342,17.174102,15.541781,15.565924,15.154601,14.824179,16.836965,15.541781,6.013616,14.246598,15.546090,14.812048,3.408200,14.078006,14.680197,14.348364,1.540721,14.016531
131,14.808762,17.561203,15.760849,15.928117,15.434304,15.171726,17.174605,15.760849,6.768271,14.347093,15.908424,15.019449,4.255912,14.130474,15.044966,14.538814,2.423172,14.032662
132,15.161877,17.872930,15.992625,16.405149,15.800788,15.590420,17.493565,15.992625,7.705671,14.491685,16.383466,15.290945,5.608893,14.198423,15.494932,14.781243,3.664006,14.067554
133,15.421119,18.210751,16.235343,16.735594,16.067272,15.891180,17.889921,16.235343,8.715478,14.580766,16.710289,15.504631,6.350793,14.298974,15.809929,14.976764,4.388691,14.143599
134,15.635709,18.479611,16.426696,16.972316,16.275222,16.130810,18.122615,16.426696,9.273286,14.730776,16.949012,15.685657,6.908024,14.422302,16.061092,15.149558,4.984270,14.238023
135,15.781585,18.772821,16.616523,17.122035,16.414525,16.289195,18.432395,16.616523,9.918846,14.800651,17.106538,15.809013,7.087479,14.511487,16.228004,15.271391,5.225310,14.314779
